key,m0,en
TAB_CHAT,-214,Relay
TAB_LIBRARY,-43,Library
TAB_DICT,-42,Dictionary
TAB_USERS,-130,Users
TAB_SETTINGS,-241,Settings
BUTTON_DSVE,-53 -38,DSVE
BUTTON_SCROLL,-119 -43,Return to bottom
PLACEHOLDER_ENTRY,-43 -38,Enter message here…
SIGNAL_NAME,-42,Signal
SIGNAL_NUMBER,-237,Number
TIME_AGO_HSEC,{0} -69 -118 -121,{0} He-6 seconds ago
DICT_HEADER,-237 -174,Dictionary
DICT_DEFAULT,-124 -122 -123,Default Formatting
DICT_SEARCH_MAKE,-38 -77 -163,Search or create
DICT_OPEN_FILE,-40,Open file
USERS_HEADER,-130 -23 -4 {0},Online Users: {0}
USERS_ONLINE,-119,Online
USERS_NICKED,-123,Nicknamed
USERS_NICK_IS,{0} -100,{0} is
USERS_UNNICKED,-111,unnamed
SETTINGS_HEADER,-241 -174,Settings
SETTINGS_DIRECTORY,-40 -174,Change Save Directory
SETTINGS_RECONNECT,-241 0 -41,Reconnect
SETTINGS_DO_WHITESPACE,-26 -14 -42 -190 -85 -100 -223 -15 -4,Follow dictionary whitespace?
SETTINGS_DEFAULT_IMAGE,-26 -14 -53 -163 -85 -15 -4,Show images by default?
SETTINGS_DO_BBCODE,-26 -14 -42 -54 -163 -85 -15 -4,Enable word formatting?
SETTINGS_BOOL_TRUE,-27,Yes
SETTINGS_BOOL_FALSE,-28,No
SETTINGS_TRUNCATE,-42 -122 -25,Words before truncation
TRUNCATION,-25,…
TRUNCATE_TOGGLE,-25,Truncate
IMAGE_TOGGLE,-53,Visualize
SETTINGS_FONT_SIZE,-42 -22 -4,Font size
SETTINGS_USE_AT_UNDEF,-26 -14 -124 -42 -100 @-_UNDEF -15 -4,Should unknown words be displayed with “@UNDEF”?
SETTINGS_THEME_COLOR,-110 -54 -100,Theme color
SUBMIT,-174,Submit
CANCEL,-29,Cancel
SETTINGS_VOLUME,-110 -172 -39 -22 -100,Volume
SETTINGS_VOLUME_ZERO,-111,Muted
SETTINGS_VOLUME_DEFAULT,-114,Default
SETTINGS_VOLUME_LOUD,-108,Loud
SETTINGS_CAMERA_HEADER,-53 -39,Invert camera controls
SETTINGS_INVERT_PITCH,-26 -14 -49 -92 -100 -87 -15 -4,Invert pitch?
SETTINGS_INVERT_YAW,-26 -14 -51 -92 -100 -87 -15 -4,Invert yaw?
SETTINGS_INVERT_ZOOM,-26 -14 -50 -39 -100 -87 -15 -4,Invert zoom?
CALLSIGN,-128 -42,Callsign
COPY_SIGNAL_NUMBERS,-42 -40,Copy signals
COPY_SIGNAL_NAMES,-237 -40,Copy words
SUBMIT_LONG,-174 -85,Submit
CANCEL_LONG,-174 -29 -85,Cancel
DELETE_ASK,-88 -127 -85,Delete?
DELETE_CONFIRM,-43 -88 -85,Are you sure?
SYSTEM,-241,System
SYSTEM_CONNECTING,-119 -241 -86 -14 -241 0 -196 -15 -127 -85,Attempting to connect…
SYSTEM_CONNECTED,-154 -2 -119 -241 -86 -241 0 -196 -145 -85,Connected!
SYSTEM_CONNECTION_FAILED,-155 -2 -119 -241 -86 -241 0 -196 -145 -29 -85,Cannot connect.
SYSTEM_DISCONNECTING,-119 -241 -30 -241 0 -86 -14 -196 -15 -127 -29 -186 -85 -109 -120 -65 -121,Attempting to disconnect…
SYSTEM_DISCONNECTED,-241 0 -86 -119 -241 -196 -29 -85,Disconnected.
SYSTEM_WILL_RECONNNECT,-119 -241 -86 -14 -241 0 -196 -15 -127 -85 {0} -69 -120 -121,Will reconnect in {0} He-6 seconds…
SYSTEM_UNKNOWN_SIGNAL,-124 -42 -100 -14 {0} -15,Unknown words: {0}
SYSTEM_TOO_LONG,-241 -86 -43 -14 -42 -23 -32 {maxLength} -15 -196 -145 -29 -85 -2 -42 -23 -4 {trxSize},"Maximum signals per transmission: {maxLength}
Signals in this transmission: {trxSize}"
SYSTEM_CHANNEL_INPUT_TOO_SHORT,-241 -86 -43 -14 {0} -30 -42 -23 -33 3 -15 -196 -145 -29 -85,Cannot use {0} with less than 3 signals
SYSTEM_INPUT_LENGTH_INVALID_TWO,-241 -86 -43 -14 {0} -30 -42 -23 -4 -29 2 -15 -196 -145 -29 -85,Cannot use {0} with 2 signals
SYSTEM_INPUT_LENGTH_INVALID_VAR,-241 -86 -43 -14 -42 -23 -4 -29 {0} -15 -196 -145 -29 -85,Cannot send {0} signals
SYSTEM_DUPLICATE_NAME,-42 -14 -1 {sig0} -15 -30 -42 -14 -1 {sig1} -15 -100 -229 -2 {name},Signals -{sig0} and -{sig1} cannot both be named “ {name} ”
DELETE_TRANSMISSION,-88,Dismiss
DICT_EDIT_HEADER,-42 -38 -77 -174,Edit Dictionary
DICT_EDIT_NAME_LABEL,-42 -14 -1 {0} -15 -4,Signal -{0} is
DICT_EDIT_BA_LABEL,-122 {0} -122,then {0} then
DICT_EDIT_BA_LABEL_GENERIC,-122 -42 -122,then word then
DICT_EDIT_NAME_PLACEHOLDER,-109 -237 -38,Enter name…
DICT_EDIT_DESC_PLACEHOLDER,-119 -130 -86 -108 -237 -38 -85,Enter notes…
FORMAT_NONE,-111,Nothing
FORMAT_SPACE,1 -190,Space
FORMAT_NEWLINE,1 -108 -190,Newline
FORMAT_DOUBLE,2 -108 -190,Double newline
FORMAT_ATTRACT,1 -189,Remove space
DICT_EDIT_BREAK,-26 -14 2 -229 -42 -122 1 -108 -190 -15 -4,Break on double?
DICT_EDIT_INDENTATION,-42 -86 -190,Indentation:
DICT_EDIT_NO_INDENT,-38 -29 -85,None
DICT_EDIT_INDENT,-38 -85,Indent
DICT_EDIT_DEDENT,-88 -85,Dedent
DICT_EDIT_BOLD,-42 -22 -100,Bold?
DICT_EDIT_NO_BOLD,-114,No
DICT_EDIT_YES_BOLD,-108,Yes
DICT_EDIT_ITALICS,-42 -49 -86 -51,Italicize?
DICT_EDIT_NO_ITALICS,-174 -29 -85,No
DICT_EDIT_YES_ITALICS,-174 -85,Yes
DICT_EDIT_UNDERLINE,-109 -51 -17,Underline?
DICT_EDIT_NO_UNDERLINE,-100 -29,No
DICT_EDIT_YES_UNDERLINE,-100,Yes
DICT_EDIT_STRIKETHROUGH,-114 -51 -17,Strikethrough?
DICT_EDIT_NO_STRIKE,-129,No
DICT_EDIT_YES_STRIKE,-100,Yes
DICT_EDIT_COLOR_IS,-100,is
DICT_EDIT_COLOR_SIGNAL,-42 -54,word color
DICT_EDIT_COLOR_BG,-22 -54,background color
CLOSE_MENU_LONG,-163 -29 -85,Close
LIBRARY_SIGNAL_COUNT,-42 -23 -4 {0},Signal count: {0}
CALLSIGN_ADD,-5,+
CALLSIGN_SUB,-7,-
LIBRARY_NAME_PLACEHOLDER,-43 -237,Name transmission…
IMAGE_ZOOM,-50 -39,Zoom
IMAGE_YAW,-51 -92,Yaw
IMAGE_PITCH,-49 -92,Pitch
